type,2014,2015,2016,2017,2018,2019,2020,2021
Australian,243,411,222,654,705,273,66,36
Limited,3,0,0,0,105,12,0,0
Resident,57,45,51,69,84,57,9,30
Student,0,3,0,0,3,0,0,0
Visitor,2250,2784,1860,2274,2343,1080,369,393
Work,24,24,36,24,30,30,6,66
