type,2014,2015,2016,2017,2018,2019,2020,2021
Australian,30,27,15,63,18,12,12,0
Limited,6,0,0,0,0,6,0,0
Resident,3,6,9,6,3,0,6,0
Student,0,3,0,0,0,0,0,0
Visitor,66,63,111,105,57,51,24,75
Work,42,36,69,60,54,66,54,12
