type,2014,2015,2016,2017,2018,2019,2020,2021
Australian,88116,103248,106764,107799,104556,106281,23355,8784
Diplomatic,654,783,807,819,777,909,174,54
Limited,237,285,297,252,255,276,120,0
Military,111,138,135,90,126,84,33,3
Resident,21471,24825,25806,26406,26853,27852,6273,639
Student,2118,2751,2925,2691,3144,3531,1242,12
Visitor,39390,45531,48102,49329,53619,52830,13887,309
Work,7638,9030,9693,9696,10875,11634,3288,84
