type,2014,2015,2016,2017,2018,2019,2020,2021
Australian,124785,145284,161547,178047,190650,214635,41712,15030
Diplomatic,6,18,12,15,6,12,6,0
Limited,72,24,27,42,300,24,3,0
Military,0,0,0,0,3,0,0,0
Resident,7461,9939,11346,12429,13479,16098,3243,942
Student,417,552,540,564,576,645,219,0
Visitor,58083,71727,82500,98697,106938,112368,26118,507
Work,3255,4608,5757,5805,5871,7062,1653,45
