type,2014,2015,2016,2017,2018,2019,2020,2021
Australian,2943,1569,159,165,3054,132,72,6
Diplomatic,0,0,0,0,0,0,3,3
Limited,15,6,3,3,0,6,3,0
Resident,243,123,21,21,123,21,9,3
Student,3,3,6,6,6,3,12,3
Visitor,1044,1317,1119,1260,2400,603,531,354
Work,15,12,9,3,6,45,18,189
