type,2014,2015,2016,2017,2018,2019,2020,2021
Australian,868632,938241,1014132,1077528,1102950,1131450,261870,95616
Diplomatic,1452,1671,1734,1848,1779,1998,609,501
Limited,17904,16725,16362,16077,15798,16932,5661,5067
Military,705,606,807,804,552,750,237,6
Resident,371301,401088,440226,470169,486609,491514,132273,31149
Student,79764,90582,95244,103119,108165,110688,39405,1692
Visitor,1396713,1589151,1848027,2026725,2140005,2104251,552843,25422
Work,158442,174390,196482,216123,230892,244896,69528,5778
