type,2014,2015,2016,2017,2018,2019,2020,2021
Australian,174,54,147,270,132,84,93,0
Resident,6,6,9,15,15,3,15,0
Visitor,387,195,99,498,228,423,387,24
Work,9,0,0,147,0,18,3,102
