type,2014,2015,2016,2017,2018,2019,2020,2021
Australian,148047,153231,169038,185169,195405,189843,43848,14208
Diplomatic,39,30,39,27,33,36,9,18
Limited,1611,1578,1785,1332,1002,879,135,786
Military,252,267,357,159,105,45,9,3
Resident,35574,38043,42069,45891,48396,48036,11985,1827
Student,6420,7311,8376,8985,9663,10815,4152,54
Visitor,197712,222723,254514,266754,283731,280653,78891,3105
Work,21750,24429,25383,26412,27276,26343,7650,354
