type,2014,2015,2016,2017,2018,2019,2020,2021
Australian,504162,534180,576126,605247,608295,619974,152637,57537
Diplomatic,747,843,879,990,969,1038,420,426
Limited,15936,14823,14229,14439,14106,15717,5397,4275
Military,342,195,306,558,321,624,192,0
Resident,306474,328086,360906,385335,397647,399432,110727,27693
Student,70812,79962,83403,90864,94776,95688,33780,1620
Visitor,1097412,1244361,1459296,1607466,1690323,1655775,432333,20280
Work,125649,136176,155457,173874,186765,199665,56829,4629
