type,2014,2015,2016,2017,2018,2019,2020,2021
Australian,6,159,42,15,36,81,18,0
Limited,3,0,0,0,6,3,3,0
Resident,0,15,6,3,0,0,0,0
Visitor,21,81,69,36,39,96,21,0
Work,0,0,0,3,0,6,0,0
