type,2014,2015,2016,2017,2018,2019,2020,2021
Australian,0,3,3,0,3,3,0,0
Limited,3,0,6,0,0,3,0,0
Visitor,18,15,15,9,15,27,6,57
Work,0,0,0,0,0,0,0,279
