type,2014,2015,2016,2017,2018,2019,2020,2021
Australian,69,0,3,0,9,57,0,0
Military,0,0,6,0,0,0,0,0
Resident,0,0,0,3,0,6,0,0
Visitor,12,3,0,12,66,81,48,0
