country,region,count
India,New Zealand,63051
China,New Zealand,43959
Great Britain,New Zealand,37800
Philippines,New Zealand,28911
Fiji,New Zealand,15987
Germany,New Zealand,14235
South Africa,New Zealand,13305
South Korea,New Zealand,10950
Samoa,New Zealand,10143
USA,New Zealand,9606
