country,region,count
India,New Zealand,86049
China,New Zealand,55674
Philippines,New Zealand,49131
South Africa,New Zealand,34731
Great Britain,New Zealand,32166
Fiji,New Zealand,15174
Samoa,New Zealand,10899
USA,New Zealand,10608
South Korea,New Zealand,10458
Sri Lanka,New Zealand,8250
