country,region,count
India,New Zealand,51225
China,New Zealand,40368
Great Britain,New Zealand,39774
Philippines,New Zealand,25371
Fiji,New Zealand,16731
South Africa,New Zealand,14499
Germany,New Zealand,13098
South Korea,New Zealand,10842
Samoa,New Zealand,10302
USA,New Zealand,9372
