country,region,count
India,New Zealand,69015
China,New Zealand,48345
Great Britain,New Zealand,37572
Philippines,New Zealand,31953
South Africa,New Zealand,15849
Fiji,New Zealand,15333
Germany,New Zealand,14937
South Korea,New Zealand,11463
Samoa,New Zealand,10392
USA,New Zealand,9993
