country,region,count
India,New Zealand,78300
China,New Zealand,51570
Philippines,New Zealand,44388
Great Britain,New Zealand,34977
South Africa,New Zealand,31206
Fiji,New Zealand,14517
Samoa,New Zealand,11430
Germany,New Zealand,10860
USA,New Zealand,10785
South Korea,New Zealand,10662
