country,region,count
India,New Zealand,75306
China,New Zealand,51603
Philippines,New Zealand,39627
Great Britain,New Zealand,36288
South Africa,New Zealand,22773
Fiji,New Zealand,14583
Germany,New Zealand,12690
South Korea,New Zealand,11190
Samoa,New Zealand,11088
USA,New Zealand,10755
