country,region,count
India,New Zealand,78144
China,New Zealand,47631
Philippines,New Zealand,45984
South Africa,New Zealand,32313
Great Britain,New Zealand,27321
Fiji,New Zealand,13581
Samoa,New Zealand,10713
USA,New Zealand,9261
South Korea,New Zealand,8589
Sri Lanka,New Zealand,7587
